GCAM.basin.name,name
North Argentina-South Atlantic Coast,North Argentina South Atlantic Coast
Tasmania,Tasmania
South America-Colorado,South America Colorado
Negro,Negro
Central Patagonia Highlands,Central Patagonia Highlands
South Argentina-South Atlantic Coast,South Argentina South Atlantic Coast
Antarctica,Antarctica
California River,California River Basin
Upper Mississippi,Upper Mississippi Basin
Lower Mississippi River,Lower Mississippi River Basin
Upper Colorado River,Upper Colorado River Basin
Lower Colorado River,Lower Colorado River Basin
Great,Great Basin
Missouri River,Missouri River Basin
Arkansas White Red,Arkansas White Red Basin
Texas Gulf Coast,Texas Gulf Coast Basin
South Atlantic Gulf,South Atlantic Gulf Basin
Great Lakes,Great Lakes Basin
Ohio River,Ohio River Basin
Pacific Northwest,Pacific Northwest Basin
Tennessee River,Tennessee River Basin
Rio Grande River,Rio Grande River Basin
New England,New England Basin
Mid Atlantic,Mid Atlantic Basin
Hawaii,Hawaii
Narmada,Narmada
