name,country
Farahrud,Afghanistan
Baja California,Mexico
Plateau of Tibet Interior,China
Red Sea-East Coast,Saudi Arabia
Arabian Peninsula,Saudi Arabia
Dead Sea,Jordan
Mexico-Northwest Coast,Mexico
Helmand,Afghanistan
Sinai Peninsula,Egypt
Eastern Jordan-Syria,Saudi Arabia
Africa-Red Sea-Gulf of Aden Coast,Somalia
Caribbean,Cuba
Hamun-i-Mashkel,Pakistan
Taiwan,Taiwan
Arabian Sea Coast,Pakistan
North Gulf,Mexico
Yangtze,China
Sabarmati,India
Xun Jiang,China
Hong-Red River,Viet Nam
Ganges-Bramaputra,India
Yucatan Peninsula,Mexico
South China Sea Coast,China
Mahi,India
Mexico-Interior,Mexico
Pacific Central Coast,Mexico
Bay of Bengal-North East Coast,Myanmar
Tapti,India
Yasai,India
Philippines,Philippines
Brahamani,India
North Marina Islands-Guam,Guam
Mahandi,India
Godavari,India
Hainan,China
Mekong,Lao Peoples Democratic Republic
Viet Nam-Coast,Viet Nam
Salween,China
India North East Coast,India
India West Coast,India
Papaloapan,Mexico
Rio Lerma,Mexico
Rio Verde,Mexico
Grijalva-Usumacinta,Mexico
Rio Balsas,Mexico
Southern Central America,Nicaragua
Isthmus of Tehuantepec,Mexico
Irrawaddy,Myanmar
Sittang,Myanmar
Peninsula Malaysia,Malaysia
Krishna,India
Andamaman-Nicobar Islands,India
Africa-West Coast,Cote dIvoire
Caribbean Coast,Venezuela
Africa-North Interior,Algeria
India East Coast,India
Chao Phraya,Thailand
Pennar,India
Gulf of Thailand Coast,Thailand
Niger,Mali
Micronesia,"Micronesia, Federated States of"
Lake Chad,Chad
Senegal,Mauritania
Cauvery,India
Sri Lanka,Sri Lanka
India South Coast,India
Orinoco,Brazil
Colombia-Ecuador-Pacific Coast,Ecuador
Palau and East Indonesia,Indonesia
North Borneo Coast,Malaysia
Volta,Burkina Faso
Northeast South America-South Atlantic Coast,Guyana
Gulf of Guinea,Gabon
Sumatra,Indonesia
Sulawesi,Indonesia
Kalimantan,Indonesia
Magdalena,Colombia
Irian Jaya Coast,Indonesia
Amazon,Brazil
South Chile-Pacific Coast,Chile
Shebelli-Juba,Ethiopia
Africa-East Central Coast,Tanzania
North Brazil-South Atlantic Coast,Brazil
Papua New Guinea Coast,Papua New Guinea
Tocantins,Brazil
Java-Timor,Indonesia
Solomon Islands,Solomon Islands
Madasgacar,Madagascar
Sepik,Papua New Guinea
Rift Valley,Ethiopia
Peru-Pacific Coast,Peru
Fly,Papua New Guinea
Angola-Coast,Angola
Congo,"Congo, The Democratic Republic of the"
Australia-North Coast,Australia
South Pacific Islands,New Caledonia
East Brazil-South Atlantic Coast,Brazil
Parnaiba,Brazil
Zambezi,Zambia
Australia-East Coast,Australia
Africa-Indian Ocean Coast,Mozambique
Australia-West Coast,Australia
Sao Francisco,Brazil
Australia-Interior,Australia
Orange,South Africa
Uruguay-Brazil-South Atlantic Coast,Brazil
Namibia-Coast,Namibia
Africa-South Interior,Botswana
South Africa-South Coast,South Africa
Limpopo,South Africa
La Puna Region,Bolivia
New Zealand,New Zealand
Australia-South Coast,Australia
Mar Chiquita,Argentina
South Africa-West Coast,South Africa
Salinas Grandes,Argentina
La Plata,Brazil
North Chile-Pacific Coast,Chile
Murray-Darling,Australia
Pampas Region,Argentina
North Argentina-South Atlantic Coast,Argentina
Tasmania,Australia
South America-Colorado,Argentina
Negro,Argentina
Central Patagonia Highlands,Argentina
South Argentina-South Atlantic Coast,Argentina
Antarctica,French Southern Territories
California River,United States
Upper Mississippi,United States
Lower Mississippi River,United States
Upper Colorado River,United States
Lower Colorado River,United States
Great,United States
Missouri River,United States
Arkansas White Red,United States
Texas Gulf Coast,United States
South Atlantic Gulf,United States
Great Lakes,Canada
Ohio River,United States
Pacific Northwest,United States
Tennessee River,United States
Rio Grande River,United States
New England,United States
Mid Atlantic,United States
Hawaii,United States
Narmada,India
